#Data tag : 19v3 , Norm tag: None
run:fill,time,ncms,hltpath,delivered(/fb),recorded(/fb)
321069:7040,08/10/18 02:54:15,313,HLT_Mu9_IP6_part0_v3,0.010261096,0.009911555
321122:7042,08/10/18 18:04:09,180,HLT_Mu9_IP6_part0_v3,0.010997330,0.010102238
321124:7042,08/10/18 19:20:25,818,HLT_Mu9_IP6_part0_v3,0.038540635,0.037061557
321126:7042,08/11/18 01:08:48,480,HLT_Mu9_IP6_part0_v3,0.015812849,0.015355389
321134:7043,08/11/18 08:40:42,36,HLT_Mu9_IP6_part0_v3,0.001590299,0.001541373
321138:7043,08/11/18 09:32:55,735,HLT_Mu9_IP6_part0_v3,0.029876890,0.028395352
321140:7043,08/11/18 14:25:01,798,HLT_Mu9_IP6_part0_v3,0.023938668,0.023389874
321149:7045,08/12/18 01:18:02,1257,HLT_Mu9_IP6_part0_v3,0.057828101,0.056333625
321165:7047,08/12/18 15:19:23,2,HLT_Mu9_IP6_part0_v3,0.000806762,0.000389898
321167:7047,08/12/18 18:18:40,540,HLT_Mu9_IP6_part0_v3,0.029736419,0.028848552
321178:7048,08/13/18 07:13:18,33,HLT_Mu9_IP6_part0_v3,0.002078171,0.002026975
321218:7052,08/13/18 15:29:38,410,HLT_Mu9_IP6_part0_v3,0.023257711,0.021785204
321219:7052,08/13/18 18:10:44,930,HLT_Mu9_IP6_part0_v3,0.037242269,0.036237899
321221:7052,08/14/18 00:13:21,40,HLT_Mu9_IP6_part0_v3,0.001207723,0.001181241
321233:7053,08/14/18 07:24:30,324,HLT_Mu9_IP6_part0_v3,0.018888975,0.018382818
321295:7055,08/14/18 18:55:58,594,HLT_Mu9_IP6_part0_v3,0.032369907,0.031231116
321296:7055,08/14/18 22:55:44,56,HLT_Mu9_IP6_part0_v3,0.002479583,0.002375319
321305:7056,08/15/18 05:52:22,2030,HLT_Mu9_IP6_part0_v3,0.079874005,0.077509453
321312:7056,08/15/18 20:56:27,758,HLT_Mu9_IP6_part0_v3,0.012251666,0.011999420
321313:7056,08/16/18 01:56:27,405,HLT_Mu9_IP6_part0_v3,0.005349812,0.005275546
321396:7058,08/17/18 08:22:57,1178,HLT_Mu9_IP6_part0_v3,0.055298950,0.053292114
321397:7058,08/17/18 16:11:03,353,HLT_Mu9_IP6_part0_v3,0.010349618,0.010072023
321414:7061,08/18/18 01:05:43,647,HLT_Mu9_IP6_part0_v3,0.034672529,0.033379648
321415:7061,08/18/18 05:21:19,804,HLT_Mu9_IP6_part0_v3,0.029248693,0.028442739
321434:7063,08/18/18 17:06:49,488,HLT_Mu9_IP6_part0_v3,0.027227217,0.026178055
321436:7063,08/18/18 20:20:52,710,HLT_Mu9_IP6_part0_v3,0.028415912,0.027688386
321457:7065,08/19/18 11:11:52,1295,HLT_Mu9_IP6_part0_v3,0.059480679,0.057501308
321461:7065,08/19/18 19:38:10,149,HLT_Mu9_IP6_part0_v3,0.004313261,0.004202619
321475:7069,08/20/18 04:17:23,1599,HLT_Mu9_IP6_part0_v3,0.067250491,0.065064382
321712:7078,08/23/18 14:59:56,63,HLT_Mu9_IP6_part0_v3,0.004258051,0.004116486
321732:7080,08/23/18 23:52:15,1301,HLT_Mu9_IP6_part0_v3,0.064146100,0.061915818
321735:7080,08/24/18 08:34:37,143,HLT_Mu9_IP6_part0_v3,0.004762623,0.004627397
321755:7083,08/24/18 16:26:11,282,HLT_Mu9_IP6_part0_v3,0.016365400,0.015735839
321758:7083,08/24/18 18:21:07,152,HLT_Mu9_IP6_part0_v3,0.007727474,0.007503518
321760:7083,08/24/18 19:45:38,803,HLT_Mu9_IP6_part0_v3,0.030032291,0.029167247
321777:7087,08/25/18 14:49:10,100,HLT_Mu9_IP6_part0_v3,0.006672549,0.006476275
321778:7087,08/25/18 16:07:27,136,HLT_Mu9_IP6_part0_v3,0.007977288,0.007211659
321780:7087,08/25/18 17:04:57,481,HLT_Mu9_IP6_part0_v3,0.023386712,0.022734943
321781:7087,08/25/18 20:38:11,380,HLT_Mu9_IP6_part0_v3,0.014114022,0.013601820
321815:7090,08/26/18 12:01:16,23,HLT_Mu9_IP6_part0_v3,0.001555273,0.001024041
321817:7090,08/26/18 12:20:00,536,HLT_Mu9_IP6_part0_v3,0.030709550,0.029694702
321818:7090,08/26/18 15:50:06,690,HLT_Mu9_IP6_part0_v3,0.028577977,0.027603081
321820:7090,08/26/18 20:26:15,214,HLT_Mu9_IP6_part0_v3,0.006576181,0.006413792
321831:7091,08/27/18 02:40:43,365,HLT_Mu9_IP6_part0_v3,0.022723443,0.021613667
321832:7091,08/27/18 05:06:22,494,HLT_Mu9_IP6_part0_v3,0.024065510,0.023192369
321833:7091,08/27/18 08:27:00,398,HLT_Mu9_IP6_part0_v3,0.015375776,0.014838155
321834:7091,08/27/18 11:05:28,333,HLT_Mu9_IP6_part0_v3,0.010313942,0.009961901
321879:7092,08/27/18 19:48:50,23,HLT_Mu9_IP6_part0_v3,0.001571003,0.001494713
321880:7092,08/27/18 20:01:46,130,HLT_Mu9_IP6_part0_v3,0.008548451,0.008275164
321887:7095,08/28/18 03:16:33,554,HLT_Mu9_IP6_part0_v3,0.032528466,0.031437558
321908:7097,08/28/18 15:13:01,91,HLT_Mu9_IP6_part0_v3,0.006182258,0.005635733
321909:7097,08/28/18 16:31:34,1653,HLT_Mu9_IP6_part0_v3,0.070313762,0.068113875
321917:7098,08/29/18 08:00:58,402,HLT_Mu9_IP6_part0_v3,0.024515523,0.023691042
321919:7098,08/29/18 10:38:52,6,HLT_Mu9_IP6_part0_v3,0.000328575,0.000297765
321973:7105,08/30/18 12:13:18,825,HLT_Mu9_IP6_part0_v3,0.045678442,0.043869404
321975:7105,08/30/18 17:37:18,866,HLT_Mu9_IP6_part0_v3,0.030155747,0.029156757
321988:7108,08/31/18 06:38:53,911,HLT_Mu9_IP6_part0_v3,0.048163144,0.046342053
321990:7108,08/31/18 13:16:37,471,HLT_Mu9_IP6_part0_v3,0.016665373,0.016206390
322022:7110,08/31/18 23:10:21,1436,HLT_Mu9_IP6_part0_v3,0.070683308,0.068243021
322068:7117,09/02/18 05:34:59,226,HLT_Mu9_IP6_part0_v3,0.014433177,0.013914707
322106:7120,09/03/18 00:35:10,375,HLT_Mu9_IP6_part0_v3,0.023155651,0.022399545
322118:7122,09/03/18 09:23:46,544,HLT_Mu9_IP6_part0_v3,0.031695820,0.030662098
322179:7123,09/03/18 19:27:42,1307,HLT_Mu9_IP6_part0_v3,0.064485235,0.062212710
322204:7124,09/04/18 08:50:03,917,HLT_Mu9_IP6_part0_v3,0.048970170,0.046772125
322222:7124,09/04/18 14:53:45,526,HLT_Mu9_IP6_part0_v3,0.019261203,0.018548845
322252:7125,09/04/18 22:58:08,1162,HLT_Mu9_IP6_part0_v3,0.059352766,0.056729321
322322:7127,09/05/18 15:12:48,937,HLT_Mu9_IP6_part0_v3,0.048244677,0.046503042
322324:7127,09/05/18 21:27:53,416,HLT_Mu9_IP6_part0_v3,0.014264658,0.013851950
322332:7128,09/06/18 04:40:21,637,HLT_Mu9_IP6_part0_v3,0.036537970,0.035155303
322348:7131,09/06/18 16:23:20,1055,HLT_Mu9_IP6_part0_v3,0.054663210,0.052648184
322356:7132,09/07/18 02:57:35,593,HLT_Mu9_IP6_part0_v3,0.034970099,0.033830176
322381:7133,09/07/18 13:05:56,236,HLT_Mu9_IP6_part0_v3,0.015196563,0.014627651
322407:7135,09/07/18 18:52:38,369,HLT_Mu9_IP6_part0_v3,0.023643017,0.022446807
322430:7137,09/08/18 03:18:35,149,HLT_Mu9_IP6_part0_v3,0.009838512,0.009495975
322431:7137,09/08/18 06:34:56,1108,HLT_Mu9_IP6_part0_v3,0.044307099,0.042846074
322480:7139,09/08/18 19:02:34,111,HLT_Mu9_IP6_part0_v3,0.007411426,0.006378729
322492:7139,09/08/18 20:58:22,1380,HLT_Mu9_IP6_part0_v3,0.059196129,0.057159353
322605:7144,09/09/18 18:38:15,216,HLT_Mu9_IP6_part0_v3,0.014148326,0.013516204
322617:7144,09/09/18 21:13:20,599,HLT_Mu9_IP6_part0_v3,0.028227511,0.027220598
322625:7145,09/10/18 05:50:52,763,HLT_Mu9_IP6_part0_v3,0.042914425,0.041404322
322633:7145,09/10/18 10:51:34,249,HLT_Mu9_IP6_part0_v3,0.010524938,0.010189123
323414:7213,09/24/18 01:57:29,24,HLT_Mu9_IP6_part0_v3,0.000923813,0.000789321
323423:7213,09/24/18 05:01:48,136,HLT_Mu9_IP6_part0_v3,0.004459963,0.004207415
323471:7217,09/24/18 16:03:00,117,HLT_Mu9_IP6_part0_v3,0.007834040,0.007217288
323472:7217,09/24/18 16:51:04,63,HLT_Mu9_IP6_part0_v3,0.004002393,0.003800723
323473:7217,09/24/18 17:40:41,227,HLT_Mu9_IP6_part0_v3,0.012780505,0.010903925
323474:7217,09/24/18 19:42:20,352,HLT_Mu9_IP6_part0_v3,0.016074716,0.015561554
323475:7217,09/24/18 22:00:42,77,HLT_Mu9_IP6_part0_v3,0.002962463,0.002838816
323487:7218,09/25/18 05:40:25,117,HLT_Mu9_IP6_part0_v3,0.007741140,0.007292409
323488:7218,09/25/18 06:30:08,745,HLT_Mu9_IP6_part0_v3,0.038639249,0.037239491
323492:7218,09/25/18 11:45:43,30,HLT_Mu9_IP6_part0_v3,0.001294781,0.001164639
323493:7218,09/25/18 11:58:37,140,HLT_Mu9_IP6_part0_v3,0.005659645,0.005475014
323495:7218,09/25/18 12:54:31,187,HLT_Mu9_IP6_part0_v3,0.006719408,0.006469305
323524:7221,09/25/18 23:50:33,340,HLT_Mu9_IP6_part0_v3,0.021865146,0.020985190
323525:7221,09/26/18 02:05:25,1117,HLT_Mu9_IP6_part0_v3,0.050351964,0.048529656
323526:7221,09/26/18 09:22:43,462,HLT_Mu9_IP6_part0_v3,0.013300212,0.012990139
323696:7234,09/29/18 03:52:49,52,HLT_Mu9_IP6_part0_v3,0.003554820,0.003354269
323702:7234,09/29/18 08:56:34,808,HLT_Mu9_IP6_part0_v3,0.030035553,0.029191687
323726:7236,09/29/18 21:06:40,10,HLT_Mu9_IP6_part0_v3,0.000687927,0.000477140
323727:7236,09/29/18 21:21:14,950,HLT_Mu9_IP6_part0_v3,0.049766615,0.047991295
323755:7239,09/30/18 13:34:52,576,HLT_Mu9_IP6_part0_v3,0.034698491,0.033463571
323778:7240,09/30/18 21:57:58,737,HLT_Mu9_IP6_part0_v3,0.042175197,0.040569319
323790:7242,10/01/18 08:53:08,621,HLT_Mu9_IP6_part0_v3,0.037446488,0.035622054
323794:7242,10/01/18 13:29:17,68,HLT_Mu9_IP6_part0_v3,0.003353672,0.003211321
323841:7245,10/02/18 01:23:09,178,HLT_Mu9_IP6_part0_v3,0.011615028,0.010991800
323857:7245,10/02/18 02:35:30,357,HLT_Mu9_IP6_part0_v3,0.019777812,0.019102636
323940:7252,10/03/18 04:06:51,1071,HLT_Mu9_IP6_part0_v3,0.055220663,0.052799209
323954:7252,10/03/18 11:06:37,77,HLT_Mu9_IP6_part0_v3,0.003142562,0.003028186
323980:7253,10/03/18 16:06:35,6,HLT_Mu9_IP6_part0_v3,0.000414753,0.000049420
323983:7253,10/03/18 16:11:58,187,HLT_Mu9_IP6_part0_v3,0.012126326,0.011358279
323997:7253,10/03/18 17:30:39,498,HLT_Mu9_IP6_part0_v3,0.026920769,0.025758358
324021:7256,10/04/18 04:28:43,360,HLT_Mu9_IP6_part0_v3,0.022408414,0.020537264
324022:7256,10/04/18 06:50:15,554,HLT_Mu9_IP6_part0_v3,0.026373269,0.025557112
324077:7259,10/05/18 01:28:36,216,HLT_Mu9_IP6_part0_v3,0.013780984,0.013268777
324201:7264,10/07/18 01:48:39,1071,HLT_Mu9_IP6_part0_v3,0.054860663,0.052938433
324202:7264,10/07/18 08:49:38,236,HLT_Mu9_IP6_part0_v3,0.007948036,0.007777085
